spec,dps,item_level,fight_name,fight_length
Destruction Warlock,82104.23,466,The Stone Guard,214600
Retribution Paladin,54466.39,462,The Stone Guard,214600
Blood DeathKnight,11278.61,462,The Stone Guard,214600
Frost Mage,100851.33,463,The Stone Guard,214600
Destruction Warlock,80017.32,468,Feng the Accursed,297009
Guardian Druid,1748.98,465,Feng the Accursed,297009
Unholy DeathKnight,71797.5,469,Feng the Accursed,297009
Brewmaster Monk,41680.38,468,Feng the Accursed,297009
Balance Druid,25971.76,467,Feng the Accursed,297009
Destruction Warlock,77072.72,466,Feng the Accursed,297009
Retribution Paladin,59025.75,462,Feng the Accursed,297009
Blood DeathKnight,62055.92,462,Feng the Accursed,297009
Frost Mage,57166.23,463,Feng the Accursed,297009
Destruction Warlock,84575.01,468,Gara'jal the Spiritbinder,210981
Brewmaster Monk,42336.64,470,Gara'jal the Spiritbinder,210981
Unholy DeathKnight,81794.1,471,Gara'jal the Spiritbinder,210981
Balance Druid,75368.36,467,Gara'jal the Spiritbinder,210981
Destruction Warlock,78784.92,466,Gara'jal the Spiritbinder,210981
Retribution Paladin,57201.55,463,Gara'jal the Spiritbinder,210981
Blood DeathKnight,55596.94,462,Gara'jal the Spiritbinder,210981
Frost Mage,73269.3,463,Gara'jal the Spiritbinder,210981
Destruction Warlock,69897.39,468,The Spirit Kings,345704
Guardian Druid,2053.67,465,The Spirit Kings,345704
Brewmaster Monk,41798.93,471,The Spirit Kings,345704
Unholy DeathKnight,70304.24,471,The Spirit Kings,345704
Balance Druid,55055.34,467,The Spirit Kings,345704
Destruction Warlock,63072.95,466,The Spirit Kings,345704
Retribution Paladin,51324.86,463,The Spirit Kings,345704
Survival Hunter,65714.25,461,The Spirit Kings,345704
Frost Mage,61641.28,463,The Spirit Kings,345704
Destruction Warlock,88895.25,468,Elegon,473753
Destruction Warlock,11842.04,465,Elegon,473753
Brewmaster Monk,55072.51,472,Elegon,473753
Balance Druid,98964.11,467,Elegon,473753
Destruction Warlock,103507.78,466,Elegon,473753
Retribution Paladin,76208.22,463,Elegon,473753
Blood DeathKnight,72267.11,462,Elegon,473753
Frost Mage,116842.6,463,Elegon,473753
Destruction Warlock,73426.71,468,Will of the Emperor,447778
Brewmaster Monk,55071.03,472,Will of the Emperor,447778
Balance Druid,56047.45,469,Will of the Emperor,447778
Destruction Warlock,51081.4,466,Will of the Emperor,447778
Retribution Paladin,32764.8,463,Will of the Emperor,447778
Blood DeathKnight,49504.81,462,Will of the Emperor,447778
Frost Mage,54543.49,463,Will of the Emperor,447778
Frost Mage,176229.18,468,The Stone Guard,200150
Destruction Warlock,137052.61,466,The Stone Guard,200150
Elemental Shaman,151104.9,467,The Stone Guard,200150
Survival Hunter,169259.85,464,The Stone Guard,200150
Blood DeathKnight,182297.24,467,The Stone Guard,200150
Subtlety Rogue,127626.13,464,The Stone Guard,200150
Survival Hunter,162704.14,465,The Stone Guard,200150
Brewmaster Monk,24310.08,467,The Stone Guard,200150
Destruction Warlock,5066.78,464,Feng the Accursed,450807
Frost Mage,105191.38,468,Feng the Accursed,450807
Destruction Warlock,78788.19,466,Feng the Accursed,450807
Elemental Shaman,96206.76,467,Feng the Accursed,450807
Survival Hunter,101630.85,464,Feng the Accursed,450807
Blood DeathKnight,94305.85,467,Feng the Accursed,450807
Assassination Rogue,82384.53,464,Feng the Accursed,450807
Survival Hunter,103909.8,465,Feng the Accursed,450807
Brewmaster Monk,65630.11,467,Feng the Accursed,450807
Combat Rogue,145391.75,467,The Stone Guard,182647
Destruction Warlock,2306.81,468,The Stone Guard,182647
Survival Hunter,158403.2,470,The Stone Guard,182647
Arms Warrior,204881.78,467,The Stone Guard,182647
Destruction Warlock,163254.23,472,The Stone Guard,182647
Brewmaster Monk,32710.5,467,The Stone Guard,182647
Blood DeathKnight,161031.24,470,The Stone Guard,182647
Survival Hunter,166818.33,467,The Stone Guard,182647
Survival Hunter,179421.44,467,The Stone Guard,182647
Elemental Shaman,16470.41,468,Feng the Accursed,280675
Survival Hunter,105895.85,470,Feng the Accursed,280675
Arms Warrior,96359.83,467,Feng the Accursed,280675
Destruction Warlock,86944.75,472,Feng the Accursed,280675
Subtlety Rogue,84307.61,467,Feng the Accursed,280675
Brewmaster Monk,43896.69,467,Feng the Accursed,280675
Blood DeathKnight,97916.1,470,Feng the Accursed,280675
Survival Hunter,113948.57,467,Feng the Accursed,280675
Survival Hunter,112897.73,467,Feng the Accursed,280675
Elemental Shaman,7782.49,468,Gara'jal the Spiritbinder,280563
Survival Hunter,105335.48,470,Gara'jal the Spiritbinder,280563
Arms Warrior,79783.67,467,Gara'jal the Spiritbinder,280563
Destruction Warlock,77938.62,472,Gara'jal the Spiritbinder,280563
Subtlety Rogue,82582.45,467,Gara'jal the Spiritbinder,280563
Brewmaster Monk,43352.22,467,Gara'jal the Spiritbinder,280563
Blood DeathKnight,66905.8,470,Gara'jal the Spiritbinder,280563
Survival Hunter,101379.8,467,Gara'jal the Spiritbinder,280563
Survival Hunter,106601.56,467,Gara'jal the Spiritbinder,280563
Elemental Shaman,12562.82,468,The Spirit Kings,436809
Survival Hunter,84790.21,470,The Spirit Kings,436809
Arms Warrior,75990.76,467,The Spirit Kings,436809
Destruction Warlock,74237.61,472,The Spirit Kings,436809
Subtlety Rogue,76961.12,467,The Spirit Kings,436809
Brewmaster Monk,33561.22,467,The Spirit Kings,436809
Blood DeathKnight,51707.79,470,The Spirit Kings,436809
Survival Hunter,83881.85,467,The Spirit Kings,436809
Survival Hunter,89383.41,467,The Spirit Kings,436809
Elemental Shaman,17729.85,468,Elegon,394621
Arms Warrior,150015.72,467,Elegon,394621
Destruction Warlock,134216.49,472,Elegon,394621
Subtlety Rogue,117200.06,467,Elegon,394621
Brewmaster Monk,51376.1,467,Elegon,394621
Blood DeathKnight,80458.68,470,Elegon,394621
Survival Hunter,171461.66,467,Elegon,394621
Destruction Warlock,170845.94,471,Elegon,394621
Survival Hunter,168245.84,467,Elegon,394621
Survival Hunter,63530.87,463,The Stone Guard,280271
Unholy DeathKnight,137624.46,467,The Stone Guard,280271
Destruction Warlock,131962.95,471,The Stone Guard,280271
Arms Warrior,150039.92,469,The Stone Guard,280271
Frost Mage,146766.08,467,The Stone Guard,280271
Balance Druid,59030.47,467,The Stone Guard,280271
Blood DeathKnight,20147.54,467,The Stone Guard,280271
Brewmaster Monk,90709.54,471,The Stone Guard,280271
Survival Hunter,94686.93,463,Feng the Accursed,528150
Unholy DeathKnight,84196.04,467,Feng the Accursed,528150
Destruction Warlock,82694.47,471,Feng the Accursed,528150
Arms Warrior,87918.41,469,Feng the Accursed,528150
Balance Druid,56140.59,467,Feng the Accursed,528150
Frost Mage,89319.64,469,Feng the Accursed,528150
Blood DeathKnight,49890.87,467,Feng the Accursed,528150
Brewmaster Monk,42752.77,471,Feng the Accursed,528150
Survival Hunter,98926.12,466,Gara'jal the Spiritbinder,327720
Destruction Warlock,86821.19,471,Gara'jal the Spiritbinder,327720
Survival Hunter,107000.67,469,Gara'jal the Spiritbinder,327720
Arms Warrior,75373.21,469,Gara'jal the Spiritbinder,327720
Balance Druid,61896.5,467,Gara'jal the Spiritbinder,327720
Frost Mage,75091.29,471,Gara'jal the Spiritbinder,327720
Blood DeathKnight,37785.16,473,Gara'jal the Spiritbinder,327720
Brewmaster Monk,35803.34,471,Gara'jal the Spiritbinder,327720
Frost Mage,101353.16,471,Gara'jal the Spiritbinder,313242
Destruction Warlock,89854.73,470,Gara'jal the Spiritbinder,313242
Retribution Paladin,69194.32,471,Gara'jal the Spiritbinder,313242
Survival Hunter,83389.29,465,Gara'jal the Spiritbinder,313242
Survival Hunter,97640.64,470,Gara'jal the Spiritbinder,313242
Brewmaster Monk,44594.47,470,Gara'jal the Spiritbinder,313242
Brewmaster Monk,28595.99,468,Gara'jal the Spiritbinder,313242
Arms Warrior,96350.47,471,Gara'jal the Spiritbinder,313242
Frost Mage,81248.82,471,The Spirit Kings,569372
Brewmaster Monk,51919.18,468,The Spirit Kings,569372
Destruction Warlock,77502.81,470,The Spirit Kings,569372
Survival Hunter,81312.88,465,The Spirit Kings,569372
Survival Hunter,76616.06,470,The Spirit Kings,569372
Brewmaster Monk,29004.51,472,The Spirit Kings,569372
Arms Warrior,56635.91,471,The Spirit Kings,569372
Frost Mage,187542.07,471,Elegon,447496
Brewmaster Monk,70155.25,468,Elegon,447496
Destruction Warlock,163117.19,470,Elegon,447496
Survival Hunter,156652.18,465,Elegon,447496
Brewmaster Monk,43685.8,472,Elegon,447496
Survival Hunter,172670.79,470,Elegon,447496
Arms Warrior,135002.01,471,Elegon,447496
Frost Mage,101353.16,471,Gara'jal the Spiritbinder,313242
Destruction Warlock,89854.73,470,Gara'jal the Spiritbinder,313242
Retribution Paladin,69194.32,471,Gara'jal the Spiritbinder,313242
Survival Hunter,83389.29,465,Gara'jal the Spiritbinder,313242
Survival Hunter,97640.64,470,Gara'jal the Spiritbinder,313242
Brewmaster Monk,44594.47,470,Gara'jal the Spiritbinder,313242
Brewmaster Monk,28595.99,468,Gara'jal the Spiritbinder,313242
Arms Warrior,96350.47,471,Gara'jal the Spiritbinder,313242
Frost Mage,81248.82,471,The Spirit Kings,569372
Brewmaster Monk,51919.18,468,The Spirit Kings,569372
Destruction Warlock,77502.81,470,The Spirit Kings,569372
Survival Hunter,81312.88,465,The Spirit Kings,569372
Survival Hunter,76616.06,470,The Spirit Kings,569372
Brewmaster Monk,29004.51,472,The Spirit Kings,569372
Arms Warrior,56635.91,471,The Spirit Kings,569372
Frost Mage,187542.07,471,Elegon,447496
Brewmaster Monk,70155.25,468,Elegon,447496
Destruction Warlock,163117.19,470,Elegon,447496
Survival Hunter,156652.18,465,Elegon,447496
Brewmaster Monk,43685.8,472,Elegon,447496
Survival Hunter,172670.79,470,Elegon,447496
Arms Warrior,135002.01,471,Elegon,447496
Survival Hunter,101642.19,470,The Stone Guard,305445
Frost Mage,148208.61,471,The Stone Guard,305445
Arms Warrior,126599.54,471,The Stone Guard,305445
Survival Hunter,124937.07,465,The Stone Guard,305445
Brewmaster Monk,33461.43,468,The Stone Guard,305445
Brewmaster Monk,46321.13,470,The Stone Guard,305445
Destruction Warlock,144432.26,470,The Stone Guard,305445
Survival Hunter,102394.32,470,Feng the Accursed,393276
Frost Mage,95275.89,471,Feng the Accursed,393276
Arms Warrior,82129.61,471,Feng the Accursed,393276
Survival Hunter,95229.46,465,Feng the Accursed,393276
Brewmaster Monk,47541.01,468,Feng the Accursed,393276
Brewmaster Monk,34457.59,470,Feng the Accursed,393276
Destruction Warlock,94847.87,470,Feng the Accursed,393276
Survival Hunter,97613.53,470,Gara'jal the Spiritbinder,313329
Frost Mage,101325.02,471,Gara'jal the Spiritbinder,313329
Arms Warrior,96323.71,471,Gara'jal the Spiritbinder,313329
Retribution Paladin,69175.1,471,Gara'jal the Spiritbinder,313329
Survival Hunter,83366.14,465,Gara'jal the Spiritbinder,313329
Brewmaster Monk,28588.05,468,Gara'jal the Spiritbinder,313329
Brewmaster Monk,44582.09,470,Gara'jal the Spiritbinder,313329
Destruction Warlock,89829.78,470,Gara'jal the Spiritbinder,313329
Survival Hunter,76680.47,470,The Spirit Kings,569448
Frost Mage,81291.16,471,The Spirit Kings,569448
Arms Warrior,56628.35,471,The Spirit Kings,569448
Survival Hunter,81317.86,465,The Spirit Kings,569448
Brewmaster Monk,52340.58,468,The Spirit Kings,569448
Brewmaster Monk,29072.51,472,The Spirit Kings,569448
Destruction Warlock,77501.87,470,The Spirit Kings,569448
Survival Hunter,172683.14,470,Elegon,447464
Frost Mage,187555.48,471,Elegon,447464
Arms Warrior,135011.67,471,Elegon,447464
Survival Hunter,156663.38,465,Elegon,447464
Brewmaster Monk,70160.27,468,Elegon,447464
Brewmaster Monk,43688.92,472,Elegon,447464
Destruction Warlock,163128.85,470,Elegon,447464
Arcane Mage,68723.38,462,The Stone Guard,241659
Unholy DeathKnight,89013.66,465,The Stone Guard,241659
Subtlety Rogue,60532.21,465,The Stone Guard,241659
Survival Hunter,57599.17,468,The Stone Guard,241659
Blood DeathKnight,5232.06,470,The Stone Guard,241659
Survival Hunter,65556.73,464,The Stone Guard,241659
Brewmaster Monk,46160.35,465,The Stone Guard,241659
Survival Hunter,104974.31,469,The Stone Guard,241659
Arcane Mage,49173.56,464,Feng the Accursed,444087
Unholy DeathKnight,65590.56,465,Feng the Accursed,444087
Subtlety Rogue,64822.22,466,Feng the Accursed,444087
Survival Hunter,54724.81,468,Feng the Accursed,444087
Blood DeathKnight,38581.35,470,Feng the Accursed,444087
Brewmaster Monk,29087.57,465,Feng the Accursed,444087
Survival Hunter,11817.25,469,Feng the Accursed,444087
Arcane Mage,59655.2,464,Gara'jal the Spiritbinder,263724
Unholy DeathKnight,78707.65,465,Gara'jal the Spiritbinder,263724
Subtlety Rogue,71760.79,467,Gara'jal the Spiritbinder,263724
Survival Hunter,54277.77,468,Gara'jal the Spiritbinder,263724
Retribution Paladin,57666.06,468,Gara'jal the Spiritbinder,263724
Blood DeathKnight,40185.0,470,Gara'jal the Spiritbinder,263724
Brewmaster Monk,32532.79,465,Gara'jal the Spiritbinder,263724
Destruction Warlock,53008.09,472,Gara'jal the Spiritbinder,263724
Arms Warrior,76709.72,464,The Stone Guard,135706
Destruction Warlock,37879.01,463,The Stone Guard,135706
Subtlety Rogue,63865.97,465,The Stone Guard,135706
Elemental Shaman,95739.36,467,The Stone Guard,135706
Combat Rogue,55488.2,466,The Stone Guard,135706
Protection Paladin,46482.59,466,The Stone Guard,135706
Elemental Shaman,80111.31,468,The Stone Guard,135706
Destruction Warlock,89282.79,470,The Stone Guard,135706
Elemental Shaman,39772.54,464,The Stone Guard,135706
Destruction Warlock,84188.85,471,The Stone Guard,135706
Protection Warrior,4320.49,465,The Stone Guard,135706
Survival Hunter,93328.28,465,The Stone Guard,135706
Arms Warrior,88400.78,464,The Stone Guard,135706
Retribution Paladin,72328.55,465,The Stone Guard,135706
Enhancement Shaman,76741.24,466,The Stone Guard,135706
Frost Mage,160599.62,471,The Stone Guard,135706
Frost Mage,140696.95,472,The Stone Guard,135706
Arms Warrior,64557.14,464,Feng the Accursed,250564
Destruction Warlock,48343.25,463,Feng the Accursed,250564
Assassination Rogue,86406.95,465,Feng the Accursed,250564
Elemental Shaman,81516.12,467,Feng the Accursed,250564
Combat Rogue,50595.99,466,Feng the Accursed,250564
Elemental Shaman,71265.69,468,Feng the Accursed,250564
Destruction Warlock,88713.65,470,Feng the Accursed,250564
Destruction Warlock,77011.35,472,Feng the Accursed,250564
Elemental Shaman,34944.64,464,Feng the Accursed,250564
Protection Warrior,42926.44,465,Feng the Accursed,250564
Survival Hunter,89040.8,465,Feng the Accursed,250564
Arms Warrior,56372.32,464,Feng the Accursed,250564
Arms Warrior,61805.03,464,Feng the Accursed,250564
Retribution Paladin,68757.97,465,Feng the Accursed,250564
Enhancement Shaman,59004.25,466,Feng the Accursed,250564
Guardian Druid,2820.76,471,Feng the Accursed,250564
Frost Mage,96168.47,471,Feng the Accursed,250564
Frost Mage,84725.96,472,Feng the Accursed,250564
Arms Warrior,74729.35,464,Gara'jal the Spiritbinder,175258
Destruction Warlock,47675.58,463,Gara'jal the Spiritbinder,175258
Assassination Rogue,93213.75,465,Gara'jal the Spiritbinder,175258
Combat Rogue,54982.52,466,Gara'jal the Spiritbinder,175258
Elemental Shaman,3098.76,463,Gara'jal the Spiritbinder,175258
Elemental Shaman,75922.17,468,Gara'jal the Spiritbinder,175258
Destruction Warlock,101382.07,470,Gara'jal the Spiritbinder,175258
Elemental Shaman,45143.55,464,Gara'jal the Spiritbinder,175258
Destruction Warlock,68048.98,472,Gara'jal the Spiritbinder,175258
Protection Warrior,47339.72,465,Gara'jal the Spiritbinder,175258
Survival Hunter,106927.58,465,Gara'jal the Spiritbinder,175258
Frost Mage,76521.69,468,Gara'jal the Spiritbinder,175258
Retribution Paladin,77709.38,465,Gara'jal the Spiritbinder,175258
Enhancement Shaman,54201.45,466,Gara'jal the Spiritbinder,175258
Guardian Druid,689.51,471,Gara'jal the Spiritbinder,175258
Frost Mage,104427.95,471,Gara'jal the Spiritbinder,175258
Frost Mage,103153.98,472,Gara'jal the Spiritbinder,175258
Frost Mage,84326.77,469,The Stone Guard,114325
Unholy DeathKnight,135694.38,471,The Stone Guard,114325
Destruction Warlock,93555.64,465,The Stone Guard,114325
Arcane Mage,61094.35,461,The Stone Guard,114325
Enhancement Shaman,69036.49,465,The Stone Guard,114325
Frost Mage,155538.0,469,The Stone Guard,114325
Survival Hunter,133911.48,467,The Stone Guard,114325
Destruction Warlock,57236.89,463,The Stone Guard,114325
Blood DeathKnight,97996.83,470,The Stone Guard,114325
Assassination Rogue,87886.54,465,The Stone Guard,114325
Protection Paladin,46963.19,462,The Stone Guard,114325
Fire Mage,87480.99,471,The Stone Guard,114325
Feral Druid,100754.79,468,The Stone Guard,114325
Retribution Paladin,95280.7,468,The Stone Guard,114325
Frost Mage,122537.37,472,The Stone Guard,114325
Destruction Warlock,87381.65,464,The Stone Guard,114325
Destruction Warlock,55874.43,466,The Stone Guard,114325
Frost Mage,60984.85,469,The Stone Guard,114325
Destruction Warlock,88776.67,472,The Stone Guard,114325
Frost Mage,51789.78,469,Feng the Accursed,270817
Unholy DeathKnight,86848.35,471,Feng the Accursed,270817
Destruction Warlock,68471.93,465,Feng the Accursed,270817
Arcane Mage,43673.12,461,Feng the Accursed,270817
Enhancement Shaman,9723.39,465,Feng the Accursed,270817
Frost Mage,87494.53,469,Feng the Accursed,270817
Beastmaster Hunter,161.8,467,Feng the Accursed,270817
Destruction Warlock,46544.93,463,Feng the Accursed,270817
Blood DeathKnight,80750.14,470,Feng the Accursed,270817
Assassination Rogue,68648.47,465,Feng the Accursed,270817
Protection Paladin,8524.61,462,Feng the Accursed,270817
Fire Mage,59872.04,471,Feng the Accursed,270817
Feral Druid,73931.61,468,Feng the Accursed,270817
Retribution Paladin,77617.22,468,Feng the Accursed,270817
Frost Mage,72604.19,472,Feng the Accursed,270817
Destruction Warlock,66876.37,464,Feng the Accursed,270817
Destruction Warlock,59098.17,466,Feng the Accursed,270817
Frost Mage,47468.02,469,Feng the Accursed,270817
Destruction Warlock,81820.29,472,Feng the Accursed,270817
Blood DeathKnight,90590.34,470,Gara'jal the Spiritbinder,157767
Arms Warrior,75532.62,471,Gara'jal the Spiritbinder,157767
Assassination Rogue,75534.09,465,Gara'jal the Spiritbinder,157767
Frost Mage,61209.87,469,Gara'jal the Spiritbinder,157767
Destruction Warlock,75221.5,465,Gara'jal the Spiritbinder,157767
Fire Mage,63970.55,471,Gara'jal the Spiritbinder,157767
Feral Druid,82531.72,468,Gara'jal the Spiritbinder,157767
Destruction Warlock,88409.27,470,Gara'jal the Spiritbinder,157767
Arcane Mage,50721.41,461,Gara'jal the Spiritbinder,157767
Enhancement Shaman,81289.57,465,Gara'jal the Spiritbinder,157767
Frost Mage,73476.99,472,Gara'jal the Spiritbinder,157767
Destruction Warlock,73979.17,464,Gara'jal the Spiritbinder,157767
Destruction Warlock,53012.84,466,Gara'jal the Spiritbinder,157767
Frost Mage,68311.95,469,Gara'jal the Spiritbinder,157767
Destruction Warlock,95339.53,472,Gara'jal the Spiritbinder,157767
Frost Mage,86742.13,469,Gara'jal the Spiritbinder,157767
Survival Hunter,51445.56,460,Gara'jal the Spiritbinder,157767
Destruction Warlock,37673.28,463,Gara'jal the Spiritbinder,157767
Destruction Warlock,109250.35,472,The Stone Guard,244169
Survival Hunter,83861.09,470,The Stone Guard,244169
Balance Druid,77425.12,468,The Stone Guard,244169
Destruction Warlock,86206.71,470,The Stone Guard,244169
Subtlety Rogue,86627.55,465,The Stone Guard,244169
Blood DeathKnight,50022.64,467,The Stone Guard,244169
Protection Warrior,4307.37,463,The Stone Guard,244169
Destruction Warlock,89158.1,472,Feng the Accursed,388471
Survival Hunter,89672.09,470,Feng the Accursed,388471
Balance Druid,43999.53,468,Feng the Accursed,388471
Destruction Warlock,75976.11,470,Feng the Accursed,388471
Assassination Rogue,76136.83,465,Feng the Accursed,388471
Blood DeathKnight,51065.51,467,Feng the Accursed,388471
Frost Mage,84381.92,469,Feng the Accursed,388471
Protection Warrior,36682.64,463,Feng the Accursed,388471
Arms Warrior,89231.26,464,The Stone Guard,237915
Survival Hunter,94534.42,465,The Stone Guard,237915
Brewmaster Monk,1987.71,463,The Stone Guard,237915
Frost Mage,64774.13,464,The Stone Guard,237915
Destruction Warlock,115703.21,468,The Stone Guard,237915
Elemental Shaman,69585.69,463,The Stone Guard,237915
Survival Hunter,86330.54,466,The Stone Guard,237915
Arms Warrior,65301.65,464,Feng the Accursed,307815
Survival Hunter,82722.8,465,Feng the Accursed,307815
Elemental Shaman,1584.64,464,Feng the Accursed,307815
Brewmaster Monk,22797.58,463,Feng the Accursed,307815
Frost Mage,59200.18,464,Feng the Accursed,307815
Destruction Warlock,77137.74,468,Feng the Accursed,307815
Elemental Shaman,70325.94,463,Feng the Accursed,307815
Survival Hunter,95820.74,466,Feng the Accursed,307815
Arms Warrior,67365.85,464,Gara'jal the Spiritbinder,279828
Survival Hunter,70877.59,467,Gara'jal the Spiritbinder,279828
Elemental Shaman,1341.74,464,Gara'jal the Spiritbinder,279828
Frost Mage,47373.69,464,Gara'jal the Spiritbinder,279828
Brewmaster Monk,27522.72,463,Gara'jal the Spiritbinder,279828
Destruction Warlock,76877.96,468,Gara'jal the Spiritbinder,279828
Elemental Shaman,62120.97,463,Gara'jal the Spiritbinder,279828
Survival Hunter,80213.97,466,Gara'jal the Spiritbinder,279828
Arms Warrior,17763.34,464,The Spirit Kings,545978
Protection Paladin,4557.36,461,The Spirit Kings,545978
Survival Hunter,12812.65,467,The Spirit Kings,545978
Elemental Shaman,4350.44,464,The Spirit Kings,545978
Frost Mage,47762.97,464,The Spirit Kings,545978
Brewmaster Monk,21323.01,463,The Spirit Kings,545978
Destruction Warlock,61895.16,468,The Spirit Kings,545978
Elemental Shaman,61762.64,463,The Spirit Kings,545978
Survival Hunter,84360.14,466,The Spirit Kings,545978
Elemental Shaman,68895.8,467,Gara'jal the Spiritbinder,320003
Subtlety Rogue,81044.72,472,Gara'jal the Spiritbinder,320003
Survival Hunter,93400.19,469,Gara'jal the Spiritbinder,320003
Unholy DeathKnight,91652.52,468,Gara'jal the Spiritbinder,320003
Blood DeathKnight,57495.45,470,Gara'jal the Spiritbinder,320003
Windwalker Monk,75802.05,471,Gara'jal the Spiritbinder,320003
Protection Warrior,37970.21,469,Gara'jal the Spiritbinder,320003
Destruction Warlock,78510.03,466,Gara'jal the Spiritbinder,320003
Feral Druid,71421.64,468,The Spirit Kings,358953
Protection Paladin,47241.86,467,The Spirit Kings,358953
Survival Hunter,95555.96,467,The Spirit Kings,358953
Survival Hunter,90749.88,468,The Spirit Kings,358953
Brewmaster Monk,39179.09,470,The Spirit Kings,358953
Survival Hunter,78937.54,464,The Spirit Kings,358953
Arms Warrior,77736.68,467,The Spirit Kings,358953
Elemental Shaman,68567.07,466,The Spirit Kings,358953
Combat Rogue,63742.45,465,The Spirit Kings,358953
Destruction Warlock,65413.18,468,The Spirit Kings,358953
Frost DeathKnight,55216.31,466,The Spirit Kings,358953
Frost Mage,88498.34,468,The Spirit Kings,358953
Unholy DeathKnight,83632.3,474,The Spirit Kings,358953
Unholy DeathKnight,76040.17,466,The Spirit Kings,358953
Survival Hunter,90117.72,463,The Spirit Kings,358953
Arms Warrior,60933.86,461,The Spirit Kings,358953
Arms Warrior,63982.41,467,The Spirit Kings,358953
Unholy DeathKnight,76398.66,472,The Spirit Kings,358953
Elemental Shaman,76405.53,470,The Spirit Kings,358953
Elemental Shaman,54753.63,468,The Spirit Kings,358953
Feral Druid,142769.34,468,Elegon,389304
Protection Paladin,48296.19,467,Elegon,389304
Survival Hunter,172884.22,467,Elegon,389304
Survival Hunter,138571.22,468,Elegon,389304
Survival Hunter,141895.14,470,Elegon,389304
Destruction Warlock,2783.62,464,Elegon,389304
Brewmaster Monk,55253.99,470,Elegon,389304
Survival Hunter,141285.15,464,Elegon,389304
Arms Warrior,136778.95,467,Elegon,389304
Elemental Shaman,155637.02,470,Elegon,389304
Destruction Warlock,139553.73,468,Elegon,389304
Frost DeathKnight,110849.4,466,Elegon,389304
Frost Mage,157588.24,468,Elegon,389304
Unholy DeathKnight,131609.03,466,Elegon,389304
Unholy DeathKnight,178818.5,472,Elegon,389304
Survival Hunter,169308.46,463,Elegon,389304
Arms Warrior,39713.47,466,Elegon,389304
Arms Warrior,131521.87,467,Elegon,389304
Unholy DeathKnight,119346.16,472,Elegon,389304
Elemental Shaman,159809.5,471,Elegon,389304
Elemental Shaman,107849.71,468,Elegon,389304
Feral Druid,59698.19,468,Will of the Emperor,419034
Protection Paladin,69338.07,469,Will of the Emperor,419034
Survival Hunter,81724.09,467,Will of the Emperor,419034
Survival Hunter,74396.22,468,Will of the Emperor,419034
Survival Hunter,82914.32,470,Will of the Emperor,419034
Brewmaster Monk,53796.31,470,Will of the Emperor,419034
Survival Hunter,74909.01,464,Will of the Emperor,419034
Arms Warrior,51069.98,467,Will of the Emperor,419034
Elemental Shaman,70894.86,470,Will of the Emperor,419034
Destruction Warlock,65036.56,468,Will of the Emperor,419034
Frost DeathKnight,57505.49,466,Will of the Emperor,419034
Frost Mage,80483.21,468,Will of the Emperor,419034
Unholy DeathKnight,65003.29,466,Will of the Emperor,419034
Unholy DeathKnight,80767.7,472,Will of the Emperor,419034
Survival Hunter,76187.85,463,Will of the Emperor,419034
Arms Warrior,41820.9,467,Will of the Emperor,419034
Unholy DeathKnight,65546.91,472,Will of the Emperor,419034
Elemental Shaman,63530.85,471,Will of the Emperor,419034
Elemental Shaman,53782.99,468,Will of the Emperor,419034
Elemental Shaman,52992.38,465,The Stone Guard,257071
Beastmaster Hunter,70319.92,464,The Stone Guard,257071
Fury Warrior,75617.6,464,The Stone Guard,257071
Feral Druid,65766.03,463,The Stone Guard,257071
Protection Warrior,63057.28,465,The Stone Guard,257071
Blood DeathKnight,10317.57,466,The Stone Guard,257071
Shadow Priest,87100.96,464,The Stone Guard,257071
Windwalker Monk,74513.7,467,The Stone Guard,257071
Elemental Shaman,69378.54,465,Feng the Accursed,295933
Beastmaster Hunter,72367.77,464,Feng the Accursed,295933
Feral Druid,68435.46,463,Feng the Accursed,295933
Protection Warrior,60842.92,465,Feng the Accursed,295933
Blood DeathKnight,30277.06,466,Feng the Accursed,295933
Shadow Priest,68279.58,464,Feng the Accursed,295933
Windwalker Monk,66113.79,467,Feng the Accursed,295933
Elemental Shaman,50424.61,465,Gara'jal the Spiritbinder,231121
Beastmaster Hunter,88534.87,464,Gara'jal the Spiritbinder,231121
Feral Druid,77927.16,463,Gara'jal the Spiritbinder,231121
Protection Warrior,49541.97,467,Gara'jal the Spiritbinder,231121
Blood DeathKnight,40440.88,466,Gara'jal the Spiritbinder,231121
Shadow Priest,75215.88,464,Gara'jal the Spiritbinder,231121
Windwalker Monk,72088.98,467,Gara'jal the Spiritbinder,231121
Elemental Shaman,58616.88,465,The Spirit Kings,439181
Feral Druid,58855.91,463,The Spirit Kings,439181
Protection Warrior,29085.03,467,The Spirit Kings,439181
Blood DeathKnight,29696.92,466,The Spirit Kings,439181
Balance Druid,53165.9,467,The Spirit Kings,439181
Shadow Priest,61105.38,464,The Spirit Kings,439181
Windwalker Monk,53374.82,467,The Spirit Kings,439181
Survival Hunter,73057.27,465,The Spirit Kings,386219
Combat Rogue,48965.27,472,The Spirit Kings,386219
Frost Mage,50147.69,464,The Spirit Kings,386219
Protection Paladin,12455.08,464,The Spirit Kings,386219
Elemental Shaman,63760.64,471,The Spirit Kings,386219
Assassination Rogue,66957.33,472,The Spirit Kings,386219
